date,title,summary,link,type
13/08/2026,Analysis pages reorganised,Sample Analysis and Further Analysis were separated into dedicated GitHub-hosted pages for clearer navigation in Webador.,,Website
13/08/2026,Grand Union Canal Conditions Update,"Visual conditional assesment: The canal was in good visual condition, with calm water, very little visible litter and no obvious signs of oil, foam or significant algal growth.",https://www.queensparktrust.org/what-we-do/canal-watch/3323096_grand-union-canal-conditions-update-assessment-good,Visual assessment
14/08/2026,Further Analysis expanded,"Results to Watch, Site Consistency, Change Since Previous Survey and improved accessibility interactions were added.",,Analysis
14/08/2026,Sample Analysis updated,"Additional water-quality testing was refined, including pH, coliform, Biochemical Oxygen Demand (BOD) and Dissolved Oxygen (DO).",,Water quality
17/08/2026,Floating Canal Watch Updates widget refined,"The floating updates panel was restricted to the Canal Watch page, brought to the front of page content, improved so recent updates collapse correctly, and the expand/minimise icon was changed to reliable + and - characters.",,Website
17/08/2026,Canal Visual Assessment updated,Alternate row highlighting and a conditional wildlife observation note were added to improve readability and context.,,Visual assessment
17/08/2026,Grand Union Canal Conditions Update,"Visual conditional assesment: The canal was in good visual condition, with calm water, very little visible litter and no obvious signs of oil, foam or significant algal growth.",https://www.queensparktrust.org/what-we-do/canal-watch/3329634_grand-union-canal-conditions-update-assessment-good,Visual assessment
18/08/2026,Results Over Time Improved,"The All Sites view has been improved, making it easier to compare nitrate, phosphate and turbidity results between sampling locations and see how water quality changes over time.",,Analysis
18/08/2026,Enhanced Canal Watch Map,"The Canal Watch map now includes a highlighted Grand Union Canal route and label, making the waterway easier to identify while exploring sampling locations and water-quality results.",,Website
18/08/2026,Canal Watch Data Update,Latest survey results downloaded from the FreshWater Watch website. Including new surveyed data from site - Burket Close on  3 Aug 2026. ,/what-we-do/canal-watch?site=Burket Close,Data
20/08/2026,Site comparison improved,"A new overall site comparison highlights the strongest results and results to watch, using available nitrate, phosphate and turbidity data.",,Website
20/08/2026,Sampling frequency added,"A new sampling-frequency timeline shows how often each monitoring site has been visited, with monthly visit counts, monitoring coverage and the number of days since each site's last sample.",,Analysis
21/08/2026,Grand Union Canal Conditions Update,"Visual conditional assesment: The canal was in good visual condition, with calm water, very little visible litter and no obvious signs of oil, foam or significant algal growth.",https://www.queensparktrust.org/what-we-do/canal-watch/3334534_grand-union-canal-conditions-update-assessment-good,Visual assessment
22/08/2026,Canal Watch Data Update,Latest survey results downloaded from the FreshWater Watch website. Including new surveyed data from site - Half Penny Steps 22 Aug 2026. ,/what-we-do/canal-watch?site=Half Penny Steps Group,Data
23/08/2026,Volunteer participation tracking added,Canal Watch now shows participant attendances beneath the map and charts the number of participants recorded for each survey date.,,Website
